months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
1,100,1,8,0.2,2500,0,0.333333333333,3,1000
1.1,100,1.76666666667,14.1220266667,0.2,2500,0.0333333333333,0.588888888889,3,999.2
1.2,100,3.11998044444,24.9046273231,0.2,2500,0.0922222222222,1.03999348148,3,997.787797333
1.3,100,5.5064438286,43.8443909259,0.2,2500,0.19622157037,1.8354812762,3,995.297334601
1.4,100,9.70733479358,76.9529858238,0.2,2500,0.379769697991,3.23577826453,3,990.912895508
1.5,100,17.0790555495,134.339423641,0.2,2500,0.703347524443,5.6930185165,3,983.217596926
1.6,100,29.943696062,232.311255985,0.2,2500,1.27264937609,9.98123202066,3,969.783654562
1.7,100,52.1766984584,395.10388703,0.2,2500,2.27077257816,17.3922328195,3,946.552528963
1.8,100,89.9478638794,652.69202372,0.2,2500,4.0099958601,29.9826212931,3,907.04214026
1.9,100,152.218804122,1025.06935958,0.2,2500,7.00825798942,50.739601374,3,841.772937888
2,100,249.651779943,1476.47258587,0.2,2500,12.0822181268,83.217259981,3,739.26600193
2.1,100,388.977312531,1841.01015063,0.2,2500,20.4039441249,129.659104177,3,591.618743344
2.2,100,560.112417177,1826.04591864,0.2,2500,33.3698545426,186.704139059,3,407.517728281
2.3,100,724.046595135,1302.78072499,0.2,2500,52.0402684485,241.348865045,3,224.913136417
2.4,100,830.189781129,628.520504009,0.2,2500,76.175154953,276.729927043,3,94.6350639179
2.5,100,865.368838826,220.032236013,0.2,2500,103.848147657,288.456279609,3,31.783013517
2.6,100,858.526434466,67.1696653294,0.2,2500,132.693775618,286.175478155,3,9.77978991573
2.7,100,836.625853184,20.4994978062,0.2,2500,161.311323434,278.875284395,3,3.06282338279
2.8,100,810.788274525,6.5698083217,0.2,2500,189.198851873,270.262758175,3,1.01287360217
2.9,100,784.418979539,2.23335234773,0.2,2500,216.225127691,261.47299318,3,0.355892769997
3,100,758.495015456,0.804353837827,0.2,2500,242.372427009,252.831671819,3,0.132557535224
3.1,100,733.292283658,0.305766171675,0.2,2500,267.65559419,244.430761219,3,0.0521221514411
3.2,100,708.879784153,0.122185549482,0.2,2500,292.098670312,236.293261384,3,0.0215455342736
